stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\barre\source\repos\PI_2_Tainlandia\x64\Debug\allegro5.cfg r
display  D   display_settings.c:529  _al_score_display_settings       [   0.04373] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04388] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04404] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04418] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04435] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04449] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04463] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04477] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04489] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04503] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04519] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04552] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04568] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04580] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04595] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04634] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04677] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04697] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04720] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04735] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04752] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04767] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04782] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04798] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04812] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04827] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04845] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04859] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04872] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.04884] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04899] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04914] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04928] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04942] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04959] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04972] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04986] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05000] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05014] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05027] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05043] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05057] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05071] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05087] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05101] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05113] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05141] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05155] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05168] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05181] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05197] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05211] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05240] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05256] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05271] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05286] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05303] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05317] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05332] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05345] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.05401] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.05466] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05495] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.05510] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05525] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.05539] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05556] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.05606] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05669] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.05691] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05714] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.05735] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05758] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.05778] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05822] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.05863] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05882] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.05907] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05926] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.05942] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05956] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.05972] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.05986] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.06002] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.06016] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.06030] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.06044] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.06058] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.06073] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.06088] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.06105] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.06120] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.06136] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.06150] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06166] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06181] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06199] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06214] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06228] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06242] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06257] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06271] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06285] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06306] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06321] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06336] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06353] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06372] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06391] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06405] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06421] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06434] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06450] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06465] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06481] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06498] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06514] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06527] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06544] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06558] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06574] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06589] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06605] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06619] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06633] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.06652] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.06754] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.06775] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.12577] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.15605] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.15626] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.15644] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.15659] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.15675] Returning d3d_display: 0000024D00D3DAB0
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.15689] al_display=0000024D00D3DAB0
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.15703] al_display->vt=0000024D00D669F0
system   D            wsystem.c:836  maybe_parent_dir                 [   0.15753] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.15857] PathFindOnPath failed to find d3dx9_43.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.15900] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.15988] PathFindOnPath failed to find d3dx9_42.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.16031] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.16138] PathFindOnPath failed to find d3dx9_41.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.16180] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.16307] PathFindOnPath failed to find d3dx9_40.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.16346] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.16470] PathFindOnPath failed to find d3dx9_39.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.16513] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.16635] PathFindOnPath failed to find d3dx9_38.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.16678] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.16777] PathFindOnPath failed to find d3dx9_37.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.16817] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.16932] PathFindOnPath failed to find d3dx9_36.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.16972] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.17104] PathFindOnPath failed to find d3dx9_35.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.17150] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.17335] PathFindOnPath failed to find d3dx9_34.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.17465] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.17591] PathFindOnPath failed to find d3dx9_33.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.17631] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.17751] PathFindOnPath failed to find d3dx9_32.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.17791] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.17904] PathFindOnPath failed to find d3dx9_31.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.17944] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.18063] PathFindOnPath failed to find d3dx9_30.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.18105] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.18223] PathFindOnPath failed to find d3dx9_29.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.18263] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.18380] PathFindOnPath failed to find d3dx9_28.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.18426] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.18548] PathFindOnPath failed to find d3dx9_27.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.18589] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.18716] PathFindOnPath failed to find d3dx9_26.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.18758] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.18871] PathFindOnPath failed to find d3dx9_25.dll
system   D            wsystem.c:836  maybe_parent_dir                 [   0.18920] Also searching C:\Users\barre\source\repos\PI_2_Tainlandia\x64\
system   W            wsystem.c:896  _al_win_safe_load_library        [   0.19058] PathFindOnPath failed to find d3dx9_24.dll
d3dx9    E        d3d_d3dx9.cpp:121  _al_load_d3dx9_module            [   0.19079] Failed to load D3DX9 library. Library is not installed.
dtor     D               dtor.c:196  _al_register_destructor          [   0.19106] added dtor for queue 0000024D00D3E4C0, func 00007FFE46491C49
dtor     D               dtor.c:196  _al_register_destructor          [   0.19139] added dtor for bitmap 0000024D07F45F40, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.19274] added dtor for bitmap 0000024D07F453A0, func 00007FFE4649118B
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.19897] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.19922] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.19937] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.19950] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.19964] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.19979] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.19997] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.20009] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.20024] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.20036] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.20050] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.20065] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.20082] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.20143] added dtor for bitmap 0000024D07F45D50, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20331] added dtor for sub_bitmap 0000024D07F45970, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20355] added dtor for sub_bitmap 0000024D07F46130, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20374] added dtor for sub_bitmap 0000024D07F45B60, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20392] added dtor for sub_bitmap 0000024D07F46320, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20407] added dtor for sub_bitmap 0000024D07F46510, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20426] added dtor for sub_bitmap 0000024D07FDF1F0, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20444] added dtor for sub_bitmap 0000024D07FDDE90, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20462] added dtor for sub_bitmap 0000024D07FDD4E0, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20478] added dtor for sub_bitmap 0000024D07FDD8C0, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20496] added dtor for sub_bitmap 0000024D07FDE460, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20514] added dtor for sub_bitmap 0000024D07FDEC20, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20530] added dtor for sub_bitmap 0000024D07FDE650, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20545] added dtor for sub_bitmap 0000024D07FDEE10, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20561] added dtor for sub_bitmap 0000024D07FDE840, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20576] added dtor for sub_bitmap 0000024D07FDEA30, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20591] added dtor for sub_bitmap 0000024D07FDE270, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20606] added dtor for sub_bitmap 0000024D07FDF000, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20621] added dtor for sub_bitmap 0000024D07FDDAB0, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20636] added dtor for sub_bitmap 0000024D07FDE080, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20651] added dtor for sub_bitmap 0000024D07FDD6D0, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20667] added dtor for sub_bitmap 0000024D07FDDCA0, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20686] added dtor for sub_bitmap 0000024D07FE0CC0, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20704] added dtor for sub_bitmap 0000024D07FE1C40, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20720] added dtor for sub_bitmap 0000024D07FE1670, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20735] added dtor for sub_bitmap 0000024D07FE0EB0, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20750] added dtor for sub_bitmap 0000024D07FE06F0, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20765] added dtor for sub_bitmap 0000024D07FE1860, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20780] added dtor for sub_bitmap 0000024D07FE0500, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20796] added dtor for sub_bitmap 0000024D07FE08E0, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20811] added dtor for sub_bitmap 0000024D07FE0AD0, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20826] added dtor for sub_bitmap 0000024D07FE1480, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20841] added dtor for sub_bitmap 0000024D07FE10A0, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20858] added dtor for sub_bitmap 0000024D07FE1290, func 00007FFE4649118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.20872] added dtor for sub_bitmap 0000024D07FE1A50, func 00007FFE4649118B
